product_id,product_name,category,brand,sku_id,color,size,cost_price,selling_price
P0001,Tシャツ,トップス,ACTIVE LIFE,SKU00001,ベージュ,S,1660,3700
P0001,Tシャツ,トップス,ACTIVE LIFE,SKU00002,ベージュ,M,1660,3700
P0001,Tシャツ,トップス,ACTIVE LIFE,SKU00003,ベージュ,L,1660,3700
P0001,Tシャツ,トップス,ACTIVE LIFE,SKU00004,ベージュ,XL,1660,3700
P0001,Tシャツ,トップス,ACTIVE LIFE,SKU00005,ブラック,S,1660,3700
P0001,Tシャツ,トップス,ACTIVE LIFE,SKU00006,ブラック,M,1660,3700
P0001,Tシャツ,トップス,ACTIVE LIFE,SKU00007,ブラック,L,1660,3700
P0001,Tシャツ,トップス,ACTIVE LIFE,SKU00008,ブラック,XL,1660,3700
P0002,シャツ,トップス,ACTIVE LIFE,SKU00009,ブラック,S,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00010,ブラック,M,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00011,ブラック,L,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00012,ブラック,XL,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00013,ネイビー,S,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00014,ネイビー,M,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00015,ネイビー,L,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00016,ネイビー,XL,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00017,ベージュ,S,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00018,ベージュ,M,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00019,ベージュ,L,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00020,ベージュ,XL,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00021,ホワイト,S,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00022,ホワイト,M,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00023,ホワイト,L,4244,12300
P0002,シャツ,トップス,ACTIVE LIFE,SKU00024,ホワイト,XL,4244,12300
P0003,パーカー,トップス,NATURAL COMFORT,SKU00025,ホワイト,S,1984,4800
P0003,パーカー,トップス,NATURAL COMFORT,SKU00026,ホワイト,M,1984,4800
P0003,パーカー,トップス,NATURAL COMFORT,SKU00027,ホワイト,L,1984,4800
P0003,パーカー,トップス,NATURAL COMFORT,SKU00028,ホワイト,XL,1984,4800
P0003,パーカー,トップス,NATURAL COMFORT,SKU00029,ネイビー,S,1984,4800
P0003,パーカー,トップス,NATURAL COMFORT,SKU00030,ネイビー,M,1984,4800
P0003,パーカー,トップス,NATURAL COMFORT,SKU00031,ネイビー,L,1984,4800
P0003,パーカー,トップス,NATURAL COMFORT,SKU00032,ネイビー,XL,1984,4800
P0003,パーカー,トップス,NATURAL COMFORT,SKU00033,ブラック,S,1984,4800
P0003,パーカー,トップス,NATURAL COMFORT,SKU00034,ブラック,M,1984,4800
P0003,パーカー,トップス,NATURAL COMFORT,SKU00035,ブラック,L,1984,4800
P0003,パーカー,トップス,NATURAL COMFORT,SKU00036,ブラック,XL,1984,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00037,ブラック,S,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00038,ブラック,M,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00039,ブラック,L,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00040,ブラック,XL,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00041,ホワイト,S,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00042,ホワイト,M,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00043,ホワイト,L,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00044,ホワイト,XL,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00045,グレー,S,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00046,グレー,M,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00047,グレー,L,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00048,グレー,XL,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00049,ベージュ,S,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00050,ベージュ,M,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00051,ベージュ,L,1882,4800
P0004,ニット,トップス,ACTIVE LIFE,SKU00052,ベージュ,XL,1882,4800
P0005,デニム,ボトムス,URBAN STYLE,SKU00053,ベージュ,S,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00054,ベージュ,M,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00055,ベージュ,L,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00056,ベージュ,XL,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00057,ホワイト,S,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00058,ホワイト,M,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00059,ホワイト,L,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00060,ホワイト,XL,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00061,ネイビー,S,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00062,ネイビー,M,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00063,ネイビー,L,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00064,ネイビー,XL,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00065,ブラック,S,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00066,ブラック,M,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00067,ブラック,L,4002,13100
P0005,デニム,ボトムス,URBAN STYLE,SKU00068,ブラック,XL,4002,13100
P0006,チノパン,ボトムス,URBAN STYLE,SKU00069,ネイビー,S,3163,8900
P0006,チノパン,ボトムス,URBAN STYLE,SKU00070,ネイビー,M,3163,8900
P0006,チノパン,ボトムス,URBAN STYLE,SKU00071,ネイビー,L,3163,8900
P0006,チノパン,ボトムス,URBAN STYLE,SKU00072,ネイビー,XL,3163,8900
P0006,チノパン,ボトムス,URBAN STYLE,SKU00073,ベージュ,S,3163,8900
P0006,チノパン,ボトムス,URBAN STYLE,SKU00074,ベージュ,M,3163,8900
P0006,チノパン,ボトムス,URBAN STYLE,SKU00075,ベージュ,L,3163,8900
P0006,チノパン,ボトムス,URBAN STYLE,SKU00076,ベージュ,XL,3163,8900
P0006,チノパン,ボトムス,URBAN STYLE,SKU00077,グレー,S,3163,8900
P0006,チノパン,ボトムス,URBAN STYLE,SKU00078,グレー,M,3163,8900
P0006,チノパン,ボトムス,URBAN STYLE,SKU00079,グレー,L,3163,8900
P0006,チノパン,ボトムス,URBAN STYLE,SKU00080,グレー,XL,3163,8900
P0007,スカート,ボトムス,ACTIVE LIFE,SKU00081,グレー,S,2278,6600
P0007,スカート,ボトムス,ACTIVE LIFE,SKU00082,グレー,M,2278,6600
P0007,スカート,ボトムス,ACTIVE LIFE,SKU00083,グレー,L,2278,6600
